Name	sex	1880N	1890N	1900N	1910N	1920N	1930N	1940N	1950N	1960N	1970N	1980N	1990N	2008N	2009N	2010N	2011N	2012N	2013N	2014N	2015N	2016N	2017N	1880R	1890R	1900R	1910R	1920R	1930R	1940R	1950R	1960R	1970R	1980R	1990R	2008R	2009R	2010R	2011R	2012R	2013R	2014R	2015R	2016R	2017R
Milani	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	107	115	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	958	667	649	562
Milania	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	82	86	92	89	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	813	828	801	761	796	946	0
Milburn	M	0	0	26	35	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	877	767	880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mildred	F	1022	2872	5704	7140	5814	2738	1088	436	199	85	0	0	0	0	0	0	0	0	0	0	0	0	102	42	10	6	9	35	94	187	330	587	0	0	0	0	0	0	0	0	0	0	0	0
Mildred	M	0	19	53	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934	608	976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milena	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	79	88	93	103	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	964	843	797	760	704	832
Miles	M	181	183	144	116	105	78	67	79	74	67	151	243	555	580	712	845	821	866	917	934	945	938	263	263	320	385	390	447	448	418	463	542	337	284	167	162	137	115	111	115	108	107	105	110
Miley	F	0	0	0	0	0	0	0	0	0	0	0	0	624	419	359	251	235	203	89	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	127	189	217	316	341	388	791	0	0	923
Milford	M	40	55	79	110	97	69	38	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642	549	471	394	408	468	600	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Millard	M	243	230	227	219	178	122	71	37	22	0	0	0	0	0	0	0	0	0	0	0	0	0	216	230	242	250	286	342	434	604	816	0	0	0	0	0	0	0	0	0	0	0	0	0
Miller	M	44	41	49	39	33	20	0	0	0	0	0	0	0	0	0	55	0	54	62	68	66	67	599	682	637	715	768	899	0	0	0	0	0	0	0	0	0	925	0	944	879	825	854	851
Millicent	F	29	29	42	64	80	59	33	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	739	819	699	558	490	572	796	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Millie	F	535	408	314	237	153	116	75	48	27	0	0	0	0	77	76	82	97	120	154	170	187	231	143	191	225	264	339	412	505	674	923	0	0	0	0	868	868	816	723	599	506	477	436	355
Milo	M	95	93	91	101	76	55	30	22	0	0	0	0	147	148	163	210	241	277	279	321	380	440	371	396	423	408	467	544	683	772	0	0	0	0	449	451	422	361	331	313	311	288	248	224
